#n_l	theta_0	probability

1.5205	-0.00095	-nan
1.5235	-0.00095	-nan
1.5265	-0.00095	-nan
1.5295	-0.00095	-nan
1.5325	-0.00095	-nan
1.5355	-0.00095	-nan
1.5385	-0.00095	-nan
1.5415	-0.00095	-nan
1.5445	-0.00095	-nan
1.5475	-0.00095	-nan
1.5505	-0.00095	-nan
1.5535	-0.00095	-nan
1.5565	-0.00095	-nan
1.5595	-0.00095	-nan
1.5625	-0.00095	-nan
1.5655	-0.00095	-nan
1.5685	-0.00095	-nan
1.5715	-0.00095	-nan
1.5745	-0.00095	-nan
1.5775	-0.00095	-nan
1.5805	-0.00095	-nan
1.5835	-0.00095	-nan
1.5865	-0.00095	-nan
1.5895	-0.00095	-nan
1.5925	-0.00095	-nan
1.5955	-0.00095	-nan
1.5985	-0.00095	-nan
1.3015	-0.00085	-nan
1.3045	-0.00085	-nan
1.3075	-0.00085	-nan
1.3105	-0.00085	-nan
1.3135	-0.00085	-nan
1.3165	-0.00085	-nan
1.3195	-0.00085	-nan
1.3225	-0.00085	-nan
1.3255	-0.00085	-nan
1.3285	-0.00085	-nan
1.3315	-0.00085	-nan
1.3345	-0.00085	-nan
1.3375	-0.00085	-nan
1.3405	-0.00085	-nan
1.3435	-0.00085	-nan
1.3465	-0.00085	-nan
1.3495	-0.00085	-nan
1.3525	-0.00085	-nan
1.3555	-0.00085	-nan
1.3585	-0.00085	-nan
1.3615	-0.00085	-nan
1.3645	-0.00085	-nan
1.3675	-0.00085	-nan
1.3705	-0.00085	-nan
1.3735	-0.00085	-nan
1.3765	-0.00085	-nan
1.3795	-0.00085	-nan
1.3825	-0.00085	-nan
1.3855	-0.00085	-nan
1.3885	-0.00085	-nan
1.3915	-0.00085	-nan
1.3945	-0.00085	-nan
1.3975	-0.00085	-nan
1.4005	-0.00085	-nan
1.4035	-0.00085	-nan
1.4065	-0.00085	-nan
1.4095	-0.00085	-nan
1.4125	-0.00085	-nan
1.4155	-0.00085	-nan
1.4185	-0.00085	-nan
1.4215	-0.00085	-nan
1.4245	-0.00085	-nan
1.4275	-0.00085	-nan
1.4305	-0.00085	-nan
1.4335	-0.00085	-nan
1.4365	-0.00085	-nan
1.4395	-0.00085	-nan
1.4425	-0.00085	-nan
1.4455	-0.00085	-nan
1.4485	-0.00085	-nan
1.4515	-0.00085	-nan
1.4545	-0.00085	-nan
1.4575	-0.00085	-nan
1.4605	-0.00085	-nan
1.4635	-0.00085	-nan
1.4665	-0.00085	-nan
1.4695	-0.00085	-nan
1.4725	-0.00085	-nan
1.4755	-0.00085	-nan
1.4785	-0.00085	-nan
1.4815	-0.00085	-nan
1.4845	-0.00085	-nan
1.4875	-0.00085	-nan
1.4905	-0.00085	-nan
1.4935	-0.00085	-nan
1.4965	-0.00085	-nan
1.4995	-0.00085	-nan
1.5025	-0.00085	-nan
1.5055	-0.00085	-nan
1.5085	-0.00085	-nan
1.5115	-0.00085	-nan
1.5145	-0.00085	-nan
1.5175	-0.00085	-nan
1.5205	-0.00085	-nan
1.5235	-0.00085	-nan
1.5265	-0.00085	-nan
1.5295	-0.00085	-nan
1.5325	-0.00085	-nan
1.5355	-0.00085	-nan
1.5385	-0.00085	-nan
1.5415	-0.00085	-nan
1.5445	-0.00085	-nan
1.5475	-0.00085	-nan
1.5505	-0.00085	-nan
1.5535	-0.00085	-nan
1.5565	-0.00085	-nan
1.5595	-0.00085	-nan
1.5625	-0.00085	-nan
1.5655	-0.00085	-nan
1.5685	-0.00085	-nan
1.5715	-0.00085	-nan
1.5745	-0.00085	-nan
1.5775	-0.00085	-nan
1.5805	-0.00085	-nan
1.5835	-0.00085	-nan
1.5865	-0.00085	-nan
1.5895	-0.00085	-nan
1.5925	-0.00085	-nan
1.5955	-0.00085	-nan
1.5985	-0.00085	-nan
1.3015	-0.00075	-nan
1.3045	-0.00075	-nan
1.3075	-0.00075	-nan
1.3105	-0.00075	-nan
1.3135	-0.00075	-nan
1.3165	-0.00075	-nan
1.3195	-0.00075	-nan
1.3225	-0.00075	-nan
1.3255	-0.00075	-nan
1.3285	-0.00075	-nan
1.3315	-0.00075	-nan
1.3345	-0.00075	-nan
1.3375	-0.00075	-nan
1.3405	-0.00075	-nan
1.3435	-0.00075	-nan
1.3465	-0.00075	-nan
1.3495	-0.00075	-nan
1.3525	-0.00075	-nan
1.3555	-0.00075	-nan
1.3585	-0.00075	-nan
1.3615	-0.00075	-nan
1.3645	-0.00075	-nan
1.3675	-0.00075	-nan
1.3705	-0.00075	-nan
1.3735	-0.00075	-nan
1.3765	-0.00075	-nan
1.3795	-0.00075	-nan
1.3825	-0.00075	-nan
1.3855	-0.00075	-nan
1.3885	-0.00075	-nan
1.3915	-0.00075	-nan
1.3945	-0.00075	-nan
1.3975	-0.00075	-nan
1.4005	-0.00075	-nan
1.4035	-0.00075	-nan
1.4065	-0.00075	-nan
1.4095	-0.00075	-nan
1.4125	-0.00075	-nan
1.4155	-0.00075	-nan
1.4185	-0.00075	-nan
1.4215	-0.00075	-nan
1.4245	-0.00075	-nan
1.4275	-0.00075	-nan
1.4305	-0.00075	-nan
1.4335	-0.00075	-nan
1.4365	-0.00075	-nan
1.4395	-0.00075	-nan
1.4425	-0.00075	-nan
1.4455	-0.00075	-nan
1.4485	-0.00075	-nan
1.4515	-0.00075	-nan
1.4545	-0.00075	-nan
1.4575	-0.00075	-nan
1.4605	-0.00075	-nan
1.4635	-0.00075	-nan
1.4665	-0.00075	-nan
1.4695	-0.00075	-nan
1.4725	-0.00075	-nan
1.4755	-0.00075	-nan
1.4785	-0.00075	-nan
1.4815	-0.00075	-nan
1.4845	-0.00075	-nan
1.4875	-0.00075	-nan
1.4905	-0.00075	-nan
1.4935	-0.00075	-nan
1.4965	-0.00075	-nan
1.4995	-0.00075	-nan
1.5025	-0.00075	-nan
1.5055	-0.00075	-nan
1.5085	-0.00075	-nan
1.5115	-0.00075	-nan
1.5145	-0.00075	-nan
1.5175	-0.00075	-nan
1.5205	-0.00075	-nan
1.5235	-0.00075	-nan
1.5265	-0.00075	-nan
1.5295	-0.00075	-nan
1.5325	-0.00075	-nan
1.5355	-0.00075	-nan
1.5385	-0.00075	-nan
1.5415	-0.00075	-nan
1.5445	-0.00075	-nan
1.5475	-0.00075	-nan
1.5505	-0.00075	-nan
1.5535	-0.00075	-nan
1.5565	-0.00075	-nan
1.5595	-0.00075	-nan
1.5625	-0.00075	-nan
1.5655	-0.00075	-nan
1.5685	-0.00075	-nan
1.5715	-0.00075	-nan
1.5745	-0.00075	-nan
1.5775	-0.00075	-nan
1.5805	-0.00075	-nan
1.5835	-0.00075	-nan
1.5865	-0.00075	-nan
1.5895	-0.00075	-nan
1.5925	-0.00075	-nan
1.5955	-0.00075	-nan
1.5985	-0.00075	-nan
1.3015	-0.00065	-nan
1.3045	-0.00065	-nan
1.3075	-0.00065	-nan
1.3105	-0.00065	-nan
1.3135	-0.00065	-nan
1.3165	-0.00065	-nan
1.3195	-0.00065	-nan
1.3225	-0.00065	-nan
1.3255	-0.00065	-nan
1.3285	-0.00065	-nan
1.3315	-0.00065	-nan
1.3345	-0.00065	-nan
1.3375	-0.00065	-nan
1.3405	-0.00065	-nan
1.3435	-0.00065	-nan
1.3465	-0.00065	-nan
1.3495	-0.00065	-nan
1.3525	-0.00065	-nan
1.3555	-0.00065	-nan
1.3585	-0.00065	-nan
1.3615	-0.00065	-nan
1.3645	-0.00065	-nan
1.3675	-0.00065	-nan
1.3705	-0.00065	-nan
1.3735	-0.00065	-nan
1.3765	-0.00065	-nan
1.3795	-0.00065	-nan
1.3825	-0.00065	-nan
1.3855	-0.00065	-nan
1.3885	-0.00065	-nan
1.3915	-0.00065	-nan
1.3945	-0.00065	-nan
1.3975	-0.00065	-nan
1.4005	-0.00065	-nan
1.4035	-0.00065	-nan
1.4065	-0.00065	-nan
1.4095	-0.00065	-nan
1.4125	-0.00065	-nan
1.4155	-0.00065	-nan
1.4185	-0.00065	-nan
1.4215	-0.00065	-nan
1.4245	-0.00065	-nan
1.4275	-0.00065	-nan
1.4305	-0.00065	-nan
1.4335	-0.00065	-nan
1.4365	-0.00065	-nan
1.4395	-0.00065	-nan
1.4425	-0.00065	-nan
1.4455	-0.00065	-nan
1.4485	-0.00065	-nan
1.4515	-0.00065	-nan
1.4545	-0.00065	-nan
1.4575	-0.00065	-nan
1.4605	-0.00065	-nan
1.4635	-0.00065	-nan
1.4665	-0.00065	-nan
1.4695	-0.00065	-nan
1.4725	-0.00065	-nan
1.4755	-0.00065	-nan
1.4785	-0.00065	-nan
1.4815	-0.00065	-nan
1.4845	-0.00065	-nan
1.4875	-0.00065	-nan
1.4905	-0.00065	-nan
1.4935	-0.00065	-nan
1.4965	-0.00065	-nan
1.4995	-0.00065	-nan
1.5025	-0.00065	-nan
1.5055	-0.00065	-nan
1.5085	-0.00065	-nan
1.5115	-0.00065	-nan
1.5145	-0.00065	-nan
1.5175	-0.00065	-nan
1.5205	-0.00065	-nan
1.5235	-0.00065	-nan
1.5265	-0.00065	-nan
1.5295	-0.00065	-nan
1.5325	-0.00065	-nan
1.5355	-0.00065	-nan
1.5385	-0.00065	-nan
1.5415	-0.00065	-nan
1.5445	-0.00065	-nan
1.5475	-0.00065	-nan
1.5505	-0.00065	-nan
1.5535	-0.00065	-nan
1.5565	-0.00065	-nan
1.5595	-0.00065	-nan
1.5625	-0.00065	-nan
1.5655	-0.00065	-nan
1.5685	-0.00065	-nan
1.5715	-0.00065	-nan
1.5745	-0.00065	-nan
1.5775	-0.00065	-nan
1.5805	-0.00065	-nan
1.5835	-0.00065	-nan
1.5865	-0.00065	-nan
1.5895	-0.00065	-nan
1.5925	-0.00065	-nan
1.5955	-0.00065	-nan
1.5985	-0.00065	-nan
1.3015	-0.00055	-nan
1.3045	-0.00055	-nan
1.3075	-0.00055	-nan
1.3105	-0.00055	-nan
1.3135	-0.00055	-nan
1.3165	-0.00055	-nan
1.3195	-0.00055	-nan
1.3225	-0.00055	-nan
1.3255	-0.00055	-nan
1.3285	-0.00055	-nan
1.3315	-0.00055	-nan
1.3345	-0.00055	-nan
1.3375	-0.00055	-nan
1.3405	-0.00055	-nan
1.3435	-0.00055	-nan
1.3465	-0.00055	-nan
1.3495	-0.00055	-nan
1.3525	-0.00055	-nan
1.3555	-0.00055	-nan
1.3585	-0.00055	-nan
1.3615	-0.00055	-nan
1.3645	-0.00055	-nan
1.3675	-0.00055	-nan
1.3705	-0.00055	-nan
1.3735	-0.00055	-nan
1.3765	-0.00055	-nan
1.3795	-0.00055	-nan
1.3825	-0.00055	-nan
1.3855	-0.00055	-nan
1.3885	-0.00055	-nan
1.3915	-0.00055	-nan
1.3945	-0.00055	-nan
1.3975	-0.00055	-nan
1.4005	-0.00055	-nan
1.4035	-0.00055	-nan
1.4065	-0.00055	-nan
1.4095	-0.00055	-nan
1.4125	-0.00055	-nan
1.4155	-0.00055	-nan
1.4185	-0.00055	-nan
1.4215	-0.00055	-nan
1.4245	-0.00055	-nan
1.4275	-0.00055	-nan
1.4305	-0.00055	-nan
1.4335	-0.00055	-nan
1.4365	-0.00055	-nan
1.4395	-0.00055	-nan
1.4425	-0.00055	-nan
1.4455	-0.00055	-nan
1.4485	-0.00055	-nan
1.4515	-0.00055	-nan
1.4545	-0.00055	-nan
1.4575	-0.00055	-nan
1.4605	-0.00055	-nan
1.4635	-0.00055	-nan
1.4665	-0.00055	-nan
1.4695	-0.00055	-nan
1.4725	-0.00055	-nan
1.4755	-0.00055	-nan
1.4785	-0.00055	-nan
1.4815	-0.00055	-nan
1.4845	-0.00055	-nan
1.4875	-0.00055	-nan
1.4905	-0.00055	-nan
1.4935	-0.00055	-nan
1.4965	-0.00055	-nan
1.4995	-0.00055	-nan
1.5025	-0.00055	-nan
1.5055	-0.00055	-nan
1.5085	-0.00055	-nan
1.5115	-0.00055	-nan
1.5145	-0.00055	-nan
1.5175	-0.00055	-nan
1.5205	-0.00055	-nan
1.5235	-0.00055	-nan
1.5265	-0.00055	-nan
1.5295	-0.00055	-nan
1.5325	-0.00055	-nan
1.5355	-0.00055	-nan
1.5385	-0.00055	-nan
1.5415	-0.00055	-nan
1.5445	-0.00055	-nan
1.5475	-0.00055	-nan
1.5505	-0.00055	-nan
1.5535	-0.00055	-nan
1.5565	-0.00055	-nan
1.5595	-0.00055	-nan
1.5625	-0.00055	-nan
1.5655	-0.00055	-nan
1.5685	-0.00055	-nan
1.5715	-0.00055	-nan
1.5745	-0.00055	-nan
1.5775	-0.00055	-nan
1.5805	-0.00055	-nan
1.5835	-0.00055	-nan
1.5865	-0.00055	-nan
1.5895	-0.00055	-nan
1.5925	-0.00055	-nan
1.5955	-0.00055	-nan
1.5985	-0.00055	-nan
1.3015	-0.00045	-nan
1.3045	-0.00045	-nan
1.3075	-0.00045	-nan
1.3105	-0.00045	-nan
1.3135	-0.00045	-nan
1.3165	-0.00045	-nan
1.3195	-0.00045	-nan
1.3225	-0.00045	-nan
1.3255	-0.00045	-nan
1.3285	-0.00045	-nan
1.3315	-0.00045	-nan
1.3345	-0.00045	-nan
1.3375	-0.00045	-nan
1.3405	-0.00045	-nan
1.3435	-0.00045	-nan
1.3465	-0.00045	-nan
1.3495	-0.00045	-nan
1.3525	-0.00045	-nan
1.3555	-0.00045	-nan
1.3585	-0.00045	-nan
1.3615	-0.00045	-nan
1.3645	-0.00045	-nan
1.3675	-0.00045	-nan
1.3705	-0.00045	-nan
1.3735	-0.00045	-nan
1.3765	-0.00045	-nan
1.3795	-0.00045	-nan
1.3825	-0.00045	-nan
1.3855	-0.00045	-nan
1.3885	-0.00045	-nan
1.3915	-0.00045	-nan
1.3945	-0.00045	-nan
1.3975	-0.00045	-nan
1.4005	-0.00045	-nan
1.4035	-0.00045	-nan
1.4065	-0.00045	-nan
1.4095	-0.00045	-nan
1.4125	-0.00045	-nan
1.4155	-0.00045	-nan
1.4185	-0.00045	-nan
1.4215	-0.00045	-nan
1.4245	-0.00045	-nan
1.4275	-0.00045	-nan
1.4305	-0.00045	-nan
1.4335	-0.00045	-nan
1.4365	-0.00045	-nan
1.4395	-0.00045	-nan
1.4425	-0.00045	-nan
1.4455	-0.00045	-nan
1.4485	-0.00045	-nan
1.4515	-0.00045	-nan
1.4545	-0.00045	-nan
1.4575	-0.00045	-nan
1.4605	-0.00045	-nan
1.4635	-0.00045	-nan
1.4665	-0.00045	-nan
1.4695	-0.00045	-nan
1.4725	-0.00045	-nan
1.4755	-0.00045	-nan
1.4785	-0.00045	-nan
1.4815	-0.00045	-nan
1.4845	-0.00045	-nan
1.4875	-0.00045	-nan
1.4905	-0.00045	-nan
1.4935	-0.00045	-nan
1.4965	-0.00045	-nan
1.4995	-0.00045	-nan
1.5025	-0.00045	-nan
1.5055	-0.00045	-nan
1.5085	-0.00045	-nan
1.5115	-0.00045	-nan
1.5145	-0.00045	-nan
1.5175	-0.00045	-nan
1.5205	-0.00045	-nan
1.5235	-0.00045	-nan
1.5265	-0.00045	-nan
1.5295	-0.00045	-nan
1.5325	-0.00045	-nan
1.5355	-0.00045	-nan
1.5385	-0.00045	-nan
1.5415	-0.00045	-nan
1.5445	-0.00045	-nan
1.5475	-0.00045	-nan
1.5505	-0.00045	-nan
1.5535	-0.00045	-nan
1.5565	-0.00045	-nan
1.5595	-0.00045	-nan
1.5625	-0.00045	-nan
1.5655	-0.00045	-nan
1.5685	-0.00045	-nan
1.5715	-0.00045	-nan
1.5745	-0.00045	-nan
1.5775	-0.00045	-nan
1.5805	-0.00045	-nan
1.5835	-0.00045	-nan
1.5865	-0.00045	-nan
1.5895	-0.00045	-nan
1.5925	-0.00045	-nan
1.5955	-0.00045	-nan
1.5985	-0.00045	-nan
1.3015	-0.00035	-nan
1.3045	-0.00035	-nan
1.3075	-0.00035	-nan
1.3105	-0.00035	-nan
1.3135	-0.00035	-nan
1.3165	-0.00035	-nan
1.3195	-0.00035	-nan
1.3225	-0.00035	-nan
1.3255	-0.00035	-nan
1.3285	-0.00035	-nan
1.3315	-0.00035	-nan
1.3345	-0.00035	-nan
1.3375	-0.00035	-nan
1.3405	-0.00035	-nan
1.3435	-0.00035	-nan
1.3465	-0.00035	-nan
1.3495	-0.00035	-nan
1.3525	-0.00035	-nan
1.3555	-0.00035	-nan
1.3585	-0.00035	-nan
1.3615	-0.00035	-nan
1.3645	-0.00035	-nan
1.3675	-0.00035	-nan
1.3705	-0.00035	-nan
1.3735	-0.00035	-nan
1.3765	-0.00035	-nan
1.3795	-0.00035	-nan
1.3825	-0.00035	-nan
1.3855	-0.00035	-nan
1.3885	-0.00035	-nan
1.3915	-0.00035	-nan
1.3945	-0.00035	-nan
1.3975	-0.00035	-nan
1.4005	-0.00035	-nan
1.4035	-0.00035	-nan
1.4065	-0.00035	-nan
1.4095	-0.00035	-nan
1.4125	-0.00035	-nan
1.4155	-0.00035	-nan
1.4185	-0.00035	-nan
1.4215	-0.00035	-nan
1.4245	-0.00035	-nan
1.4275	-0.00035	-nan
1.4305	-0.00035	-nan
1.4335	-0.00035	-nan
1.4365	-0.00035	-nan
1.4395	-0.00035	-nan
1.4425	-0.00035	-nan
1.4455	-0.00035	-nan
1.4485	-0.00035	-nan
1.4515	-0.00035	-nan
1.4545	-0.00035	-nan
1.4575	-0.00035	-nan
1.4605	-0.00035	-nan
1.4635	-0.00035	-nan
1.4665	-0.00035	-nan
1.4695	-0.00035	-nan
1.4725	-0.00035	-nan
1.4755	-0.00035	-nan
1.4785	-0.00035	-nan
1.4815	-0.00035	-nan
1.4845	-0.00035	-nan
1.4875	-0.00035	-nan
1.4905	-0.00035	-nan
1.4935	-0.00035	-nan
1.4965	-0.00035	-nan
1.4995	-0.00035	-nan
1.5025	-0.00035	-nan
1.5055	-0.00035	-nan
1.5085	-0.00035	-nan
1.5115	-0.00035	-nan
1.5145	-0.00035	-nan
1.5175	-0.00035	-nan
1.5205	-0.00035	-nan
1.5235	-0.00035	-nan
1.5265	-0.00035	-nan
1.5295	-0.00035	-nan
1.5325	-0.00035	-nan
1.5355	-0.00035	-nan
1.5385	-0.00035	-nan
1.5415	-0.00035	-nan
1.5445	-0.00035	-nan
1.5475	-0.00035	-nan
1.5505	-0.00035	-nan
1.5535	-0.00035	-nan
1.5565	-0.00035	-nan
1.5595	-0.00035	-nan
1.5625	-0.00035	-nan
1.5655	-0.00035	-nan
1.5685	-0.00035	-nan
1.5715	-0.00035	-nan
1.5745	-0.00035	-nan
1.5775	-0.00035	-nan
1.5805	-0.00035	-nan
1.5835	-0.00035	-nan
1.5865	-0.00035	-nan
1.5895	-0.00035	-nan
1.5925	-0.00035	-nan
1.5955	-0.00035	-nan
1.5985	-0.00035	-nan
1.3015	-0.00025	-nan
1.3045	-0.00025	-nan
1.3075	-0.00025	-nan
1.3105	-0.00025	-nan
1.3135	-0.00025	-nan
1.3165	-0.00025	-nan
1.3195	-0.00025	-nan
1.3225	-0.00025	-nan
1.3255	-0.00025	-nan
1.3285	-0.00025	-nan
1.3315	-0.00025	-nan
1.3345	-0.00025	-nan
1.3375	-0.00025	-nan
1.3405	-0.00025	-nan
1.3435	-0.00025	-nan
1.3465	-0.00025	-nan
1.3495	-0.00025	-nan
1.3525	-0.00025	-nan
1.3555	-0.00025	-nan
1.3585	-0.00025	-nan
1.3615	-0.00025	-nan
1.3645	-0.00025	-nan
1.3675	-0.00025	-nan
1.3705	-0.00025	-nan
1.3735	-0.00025	-nan
1.3765	-0.00025	-nan
1.3795	-0.00025	-nan
1.3825	-0.00025	-nan
1.3855	-0.00025	-nan
1.3885	-0.00025	-nan
1.3915	-0.00025	-nan
1.3945	-0.00025	-nan
1.3975	-0.00025	-nan
1.4005	-0.00025	-nan
1.4035	-0.00025	-nan
1.4065	-0.00025	-nan
1.4095	-0.00025	-nan
1.4125	-0.00025	-nan
1.4155	-0.00025	-nan
1.4185	-0.00025	-nan
1.4215	-0.00025	-nan
1.4245	-0.00025	-nan
1.4275	-0.00025	-nan
1.4305	-0.00025	-nan
1.4335	-0.00025	-nan
1.4365	-0.00025	-nan
1.4395	-0.00025	-nan
1.4425	-0.00025	-nan
1.4455	-0.00025	-nan
1.4485	-0.00025	-nan
1.4515	-0.00025	-nan
1.4545	-0.00025	-nan
1.4575	-0.00025	-nan
1.4605	-0.00025	-nan
1.4635	-0.00025	-nan
1.4665	-0.00025	-nan
1.4695	-0.00025	-nan
1.4725	-0.00025	-nan
1.4755	-0.00025	-nan
1.4785	-0.00025	-nan
1.4815	-0.00025	-nan
1.4845	-0.00025	-nan
1.4875	-0.00025	-nan
1.4905	-0.00025	-nan
1.4935	-0.00025	-nan
1.4965	-0.00025	-nan
1.4995	-0.00025	-nan
1.5025	-0.00025	-nan
1.5055	-0.00025	-nan
1.5085	-0.00025	-nan
1.5115	-0.00025	-nan
1.5145	-0.00025	-nan
1.5175	-0.00025	-nan
1.5205	-0.00025	-nan
1.5235	-0.00025	-nan
1.5265	-0.00025	-nan
1.5295	-0.00025	-nan
1.5325	-0.00025	-nan
1.5355	-0.00025	-nan
1.5385	-0.00025	-nan
1.5415	-0.00025	-nan
1.5445	-0.00025	-nan
1.5475	-0.00025	-nan
1.5505	-0.00025	-nan
1.5535	-0.00025	-nan
1.5565	-0.00025	-nan
1.5595	-0.00025	-nan
1.5625	-0.00025	-nan
1.5655	-0.00025	-nan
1.5685	-0.00025	-nan
1.5715	-0.00025	-nan
1.5745	-0.00025	-nan
1.5775	-0.00025	-nan
1.5805	-0.00025	-nan
1.5835	-0.00025	-nan
1.5865	-0.00025	-nan
1.5895	-0.00025	-nan
1.5925	-0.00025	-nan
1.5955	-0.00025	-nan
1.5985	-0.00025	-nan
1.3015	-0.00015	-nan
1.3045	-0.00015	-nan
1.3075	-0.00015	-nan
1.3105	-0.00015	-nan
1.3135	-0.00015	-nan
1.3165	-0.00015	-nan
1.3195	-0.00015	-nan
1.3225	-0.00015	-nan
1.3255	-0.00015	-nan
1.3285	-0.00015	-nan
1.3315	-0.00015	-nan
1.3345	-0.00015	-nan
1.3375	-0.00015	-nan
1.3405	-0.00015	-nan
1.3435	-0.00015	-nan
1.3465	-0.00015	-nan
1.3495	-0.00015	-nan
1.3525	-0.00015	-nan
1.3555	-0.00015	-nan
1.3585	-0.00015	-nan
1.3615	-0.00015	-nan
1.3645	-0.00015	-nan
1.3675	-0.00015	-nan
1.3705	-0.00015	-nan
1.3735	-0.00015	-nan
1.3765	-0.00015	-nan
1.3795	-0.00015	-nan
1.3825	-0.00015	-nan
1.3855	-0.00015	-nan
1.3885	-0.00015	-nan
1.3915	-0.00015	-nan
1.3945	-0.00015	-nan
1.3975	-0.00015	-nan
1.4005	-0.00015	-nan
1.4035	-0.00015	-nan
1.4065	-0.00015	-nan
1.4095	-0.00015	-nan
1.4125	-0.00015	-nan
1.4155	-0.00015	-nan
1.4185	-0.00015	-nan
1.4215	-0.00015	-nan
1.4245	-0.00015	-nan
1.4275	-0.00015	-nan
1.4305	-0.00015	-nan
1.4335	-0.00015	-nan
1.4365	-0.00015	-nan
1.4395	-0.00015	-nan
1.4425	-0.00015	-nan
1.4455	-0.00015	-nan
1.4485	-0.00015	-nan
1.4515	-0.00015	-nan
1.4545	-0.00015	-nan
1.4575	-0.00015	-nan
1.4605	-0.00015	-nan
1.4635	-0.00015	-nan
1.4665	-0.00015	-nan
1.4695	-0.00015	-nan
1.4725	-0.00015	-nan
1.4755	-0.00015	-nan
1.4785	-0.00015	-nan
1.4815	-0.00015	-nan
1.4845	-0.00015	-nan
1.4875	-0.00015	-nan
1.4905	-0.00015	-nan
1.4935	-0.00015	-nan
1.4965	-0.00015	-nan
1.4995	-0.00015	-nan
1.5025	-0.00015	-nan
1.5055	-0.00015	-nan
1.5085	-0.00015	-nan
1.5115	-0.00015	-nan
1.5145	-0.00015	-nan
1.5175	-0.00015	-nan
1.5205	-0.00015	-nan
1.5235	-0.00015	-nan
1.5265	-0.00015	-nan
1.5295	-0.00015	-nan
1.5325	-0.00015	-nan
1.5355	-0.00015	-nan
1.5385	-0.00015	-nan
1.5415	-0.00015	-nan
1.5445	-0.00015	-nan
1.5475	-0.00015	-nan
1.5505	-0.00015	-nan
1.5535	-0.00015	-nan
1.5565	-0.00015	-nan
1.5595	-0.00015	-nan
1.5625	-0.00015	-nan
1.5655	-0.00015	-nan
1.5685	-0.00015	-nan
1.5715	-0.00015	-nan
1.5745	-0.00015	-nan
1.5775	-0.00015	-nan
1.5805	-0.00015	-nan
1.5835	-0.00015	-nan
1.5865	-0.00015	-nan
1.5895	-0.00015	-nan
1.5925	-0.00015	-nan
1.5955	-0.00015	-nan
1.5985	-0.00015	-nan
1.3015	-5e-05	-nan
1.3045	-5e-05	-nan
1.3075	-5e-05	-nan
1.3105	-5e-05	-nan
1.3135	-5e-05	-nan
1.3165	-5e-05	-nan
1.3195	-5e-05	-nan
1.3225	-5e-05	-nan
1.3255	-5e-05	-nan
1.3285	-5e-05	-nan
1.3315	-5e-05	-nan
1.3345	-5e-05	-nan
1.3375	-5e-05	-nan
1.3405	-5e-05	-nan
1.3435	-5e-05	-nan
1.3465	-5e-05	-nan
1.3495	-5e-05	-nan
1.3525	-5e-05	-nan
1.3555	-5e-05	-nan
1.3585	-5e-05	-nan
1.3615	-5e-05	-nan
1.3645	-5e-05	-nan
1.3675	-5e-05	-nan
1.3705	-5e-05	-nan
1.3735	-5e-05	-nan
1.3765	-5e-05	-nan
1.3795	-5e-05	-nan
1.3825	-5e-05	-nan
1.3855	-5e-05	-nan
1.3885	-5e-05	-nan
1.3915	-5e-05	-nan
